dummy,newshead,date,office,title,attacker,advantage,Evaluated,namming,partiality,Sum,URL
_,1601001.202,20201112,전북도민일보,"검찰, 동료 교수 제자 성추행 대학 교수 ‘무죄’ 선고에 상고",남성,0,0,0,0,0,http://www.domin.co.kr/news/articleView.html?idxno=1317155
_,1100801.202,20201111,조선일보,“검찰 때문에 폐인됐다” 강간 혐의 불법체류자가 울먹인 이유는...,남성,1,0,1,0,2,https://www.chosun.com/national/regional/jeju/2020/11/11/JWQ45GV2YBHG5DGGAY3U32TDIA/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
_,2100801.202,20201111,아시아경제,"'미투' 오달수 ""가족과 농사지으며 생활, 영화 개봉해 다행이다""",남성,1,1,1,0,3,http:www.asiae.co.kr/article/2020111116375418615
_,8100401.202,20201111,YTN,'성폭행 피해자에게 성관계 강요' 한샘 前 팀장 혐의 부인,남성,0,0,0,0,0,https://www.ytn.co.kr/_ln/0103_202011111649427750
_,1100201.202,20201111,국민일보,60대 남성에 “레슬링하자”며 성폭행한 40대 남성,남성,0,0,0,0,0,http://news.kmib.co.kr/article/view.asp?arcid=0015207612&code=61121311&cp=kd
_,1101101.202,20201111,한국일보,동성 장애인 환자 성폭행한 40대 2심도 징역 5년,남성,0,0,0,0,0,https://hankookilbo.com/News/Read/A2020111115450001881
_,2100201.202,20201111,머니투데이,60대 남성 2명 성폭행한 40대 남성 항소심도 '징역 5년',남성,0,0,0,0,0,http://news.moneytoday.co.kr/view/mtview.php?no=2020111114555248792&type=2
_,2100801.202,20201111,아시아경제,"‘성폭행 피해자’ 상대 강요미수 전 한샘 인사팀장, 첫 공판서 혐의 부인",남성,0,0,0,0,0,http:www.asiae.co.kr/article/2020111114391297624
_,2100201.202,20201111,머니투데이,"수습직원에 '성관계 강요 미수' 혐의 한샘 前팀장 ""그런 적 없다""",남성,1,0,1,0,2,http://news.moneytoday.co.kr/view/mtview.php?no=2020111111135592147&type=2
_,1100901.202,20201111,중앙일보,담배 두갑 5000원 영수증  '성추행 혐의' 교수 살렸다,남성,1,0,0,0,1,https://news.joins.com/article/olink/23511821
_,1100901.202,20201110,중앙일보,"""겨울엔 안했어요, 그땐  "" 승려 성폭행 입증한 장애여성의 말",남성,0,0,0,1,1,https://news.joins.com/article/olink/23511689
_,1600201.202,20201110,광주매일신문,지적장애 여성 성폭행 ‘인면수심’ 60대 스님 징역형,남성,0,-1,0,1,0,http://www.kjdaily.com/news_view.php?n=529730&tmp=20201110&s=5
_,8100401.202,20201110,YTN,"""헤어지자""는 여자 친구 감금 폭행 30대 구속",남성,1,0,0,1,2,https://www.ytn.co.kr/_ln/0115_202011101701585749
_,1600801.202,20201110,전남일보,장애 여성 성폭행 착취한 남성들 잇단 철퇴,남성,0,0,0,0,0,https://www.jnilbo.com/view/media/view?code=2020111016360336345
_,1700201.202,20201110,한라일보,제주서 전 여자친구 감금 성폭행 혐의 30대 구속,남성,0,0,0,1,1,http://www.ihalla.com/article.php?aid=1604990270696034044
_,1101001.202,20201110,한겨레,20년간 돌보던 지적장애인 성폭행한 60대 승려 실형,남성,1,0,0,0,1,http://www.hani.co.kr/arti/area/honam/969304.html
_,1100501.202,20201110,문화일보,지적장애인女 22년 일시키고 성폭행까지 한 승려 징역 6년,남성,0,0,0,1,1,http://www.munhwa.com/news/view.html?no=2020111001071027104001
_,1100801.202,20201110,조선일보,"스님 이게 뭡니까, 23년간 돌보던 지적장애인 성폭행 징역 6년",남성,0,-1,0,0,-1,https://www.chosun.com/national/national_general/2020/11/10/UWTKMRB7FJAOTJU32SHGY6I2YE/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
_,1100401.202,20201110,동아일보,“보살님한텐 비밀” 지적장애인 사찰서 성폭행한 60대 스님 징역 6년,남성,0,0,0,0,0,https://www.donga.com/news/article/all/20201110/103884320/2
_,1100201.202,20201110,국민일보,‘사찰의 악몽’ 장애인 23년 식모 만들고 성폭행한 승려,남성,0,-1,0,0,-1,http://news.kmib.co.kr/article/view.asp?arcid=0015201154&code=61121311&cp=kd
_,8100301.202,20201110,SBS,"""헤어져"" 통보에 감금 성폭행 차 바꿔 도주한 전과 20범",남성,1,0,0,0,1,https://news.sbs.co.kr/news/endPage.do?news_id=N1006065751&plink=ORI&cooper=ETC
_,8100401.202,20201110,YTN,[자막뉴스] 여자친구 '이 말' 한 마디에 분노한 전과 20범의 만행,남성,1,0,1,0,2,https://www.ytn.co.kr/_ln/0134_202011100106579700
_,8100101.202,20201110,KBS,성추행 피해자 무고한 30대 집행유예,남성,0,0,1,0,1,http://news.kbs.co.kr/news/view.do?ncd=5045243&amp;ref=DA
_,8100401.202,20201109,YTN,"""헤어지자""는 여친 감금 폭행 30대 검거...동종 범죄 포함 전과 20범",남성,1,0,0,1,2,https://www.ytn.co.kr/_ln/0115_202011092108379801
_,8100301.202,20201109,SBS,"'감금 성폭행' 신고당하자, 바로 폰 끄고 차 바꿨다",남성,-1,0,0,0,-1,https://news.sbs.co.kr/news/endPage.do?news_id=N1006065678&plink=ORI&cooper=ETC
_,1100611.202,20201109,서울신문,“이별 통보했다고” 손발 묶고 성폭행 女장기파열 골절(종합),남성,1,0,0,1,2,http://www.seoul.co.kr/news/newsView.php?id=20201109500156
_,2100201.202,20201109,머니투데이,전 여친 감금 폭행한 30대 사흘간 도주하며 경찰 수사망 농락,남성,0,-1,0,1,0,http://news.moneytoday.co.kr/view/mtview.php?no=2020110913252138852&type=2
_,1101101.202,20201109,한국일보,"전 여자친구 감금 폭행한 30대, 출소 8개월 만에 또 범행",남성,0,0,0,1,1,https://hankookilbo.com/News/Read/A2020110913500002338
_,1100701.202,20201109,세계일보,악몽같았던 사흘 출소 8개월만에 또 전 여친 감금 성폭행,남성,0,-1,0,1,0,http://www.segye.com/content/html/2020/11/09/20201109512637.html
_,1700201.202,20201109,한라일보,전 여친 감금 폭행 후 도주 30대 사흘간 경찰 수사망 피해,남성,0,0,0,1,1,http://www.ihalla.com/article.php?aid=1604895259695924044
_,1100701.202,20201109,세계일보,"출소 8개월만에 또 전 여친 성폭행한 30대 경찰, 사흘간 추격전",남성,0,0,0,1,1,http://www.segye.com/content/html/2020/11/09/20201109511709.html
_,8100301.202,20201109,SBS,이별 통보하자 감금 성폭행 알고 보니 전과 20범,남성,1,0,0,0,1,https://news.sbs.co.kr/news/endPage.do?news_id=N1006063978&plink=ORI&cooper=ETC
_,8100401.202,20201109,YTN,여자친구가 이별 통보하자...30대 남성의 끔찍한 만행,남성,1,-1,0,0,0,https://www.ytn.co.kr/_ln/0115_202011090650580832
_,1100201.202,20201109,국민일보,‘이별 통보’에 감금 성폭행 여친은 비장 파열 중상,남성,1,0,0,1,2,http://news.kmib.co.kr/article/view.asp?arcid=0015196337&code=61121211&cp=kd
_,1100901.202,20201109,중앙일보,"""헤어져"" 통보한 여친, 손발 묶어 사흘간 감금 성폭행한 30대",남성,1,0,0,1,2,https://news.joins.com/article/olink/23509704
_,1700101.202,20201109,제민일보,전 여친 성폭행 30대 검거,남성,0,0,0,1,1,
_,1100701.202,20201108,세계일보,“헤어져” “뭐가 어째” 전 여자친구 납치 후 감금 성폭행,남성,1,0,0,1,2,http://www.segye.com/content/html/2020/11/08/20201108515774.html
_,8100101.202,20201108,KBS,감금해 강간 폭행 30대 긴급체포,남성,0,0,0,0,0,http://news.kbs.co.kr/news/view.do?ncd=5043344&amp;ref=DA
_,1500701.202,20201108,부산일보,'이별 통보' 전 여친 사흘간 감금 성폭행 30대 긴급체포,남성,1,0,0,0,1,http://www.busan.com/view/busan/view.php?code=2020110820190327952
_,8100301.202,20201108,SBS,이별 통보하자 감금  성폭행 사흘 만에 겨우 탈출,남성,1,0,0,0,1,https://news.sbs.co.kr/news/endPage.do?news_id=N1006063784&plink=ORI&cooper=ETC
_,2100801.202,20201108,아시아경제,"""헤어지자는 말에 격분"" 여친 감금 성폭행한 '전과20범' 긴급체포",남성,1,0,0,`1,1,http:www.asiae.co.kr/article/2020110818110402094
_,1100801.202,20201108,조선일보,이별 통보 여친 납치해 감금하고 성폭행한 30대 ,남성,1,0,0,1,2,https://www.chosun.com/national/national_general/2020/11/08/PC6DHFPMOFFLBFVVR7T5JUUGXA/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
_,1101101.202,20201108,한국일보,헤어지자는 여자친구 손발 묶어 감금 성폭행 한 30대 긴급체포,남성,1,0,0,1,2,https://hankookilbo.com/News/Read/A2020110817480004422
_,1100611.202,20201108,서울신문,“이별 통보했다고 ” 전 여자친구 사흘간 감금 성폭행,남성,1,0,0,1,2,http://www.seoul.co.kr/news/newsView.php?id=20201108500089
_,2100101.202,20201108,매일경제,`이별 통보` 여친 집으로 끌고가 사흘간을 잔인하게 ,남성,1,-1,0,1,1,http://news.mk.co.kr/newsRead.php?no=1145914&year=2020
_,1100101.202,20201108,경향신문,헤어지자는 여친 사흘간 감금 폭행 30대 긴급체포,남성,1,0,0,1,2,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202011081754001&code=940202
_,2100201.202,20201108,머니투데이,"""이별 통보에 화나서"" 전 연인 감금 성폭행 30대男 검거",남성,1,0,0,1,2,http://news.moneytoday.co.kr/view/mtview.php?no=2020110817423184255&type=2
_,2100601.202,20201108,한국경제,헤어지자는 여친 사흘간 성폭행한 전과 20범 긴급체포,남성,1,0,0,1,2,https://www.hankyung.com/society/article/2020110872397
_,8100401.202,20201108,YTN,여자친구가 이별 통보하자...30대 남성의 끔찍한 만행,남성,1,-1,0,1,1,https://www.ytn.co.kr/_ln/0115_202011081741115250
_,1700201.202,20201108,한라일보,전 여자친구 사흘간 감금 성폭행 30대 도주 끝에 검거,남성,0,0,0,1,1,http://www.ihalla.com/article.php?aid=1604824185695859044
_,2100701.202,20201108,헤럴드경제,'이별 통보'에 여친 감금 성폭행 '중상' 입힌 30대 긴급체포,남성,1,-1,0,0,0,http://biz.heraldcorp.com/view.php?ud=20201108000234
_,1100801.202,20201107,조선일보,같은 학교 여학생 불법 촬영하고 “뿌린다”며 성폭행한 고등학생... 재판에선 “협박한 적은 없어”,남성,-1,0,0,1,0,https://www.chosun.com/national/incident/2020/11/07/XYKOQACLTRC3VEUXG7MGQNHMOM/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
_,1100201.202,20201107,국민일보,불법촬영 뒤 “유포하겠다” 협박해 성폭행한 17세 남학생,남성,0,0,0,-1,-1,http://news.kmib.co.kr/article/view.asp?arcid=0015192970&code=61121311&cp=kd
_,2100201.202,20201107,머니투데이,"여학생 몰카찍고 성폭행했지만, '협박'은 안 했다는 10대",남성,1,0,0,1,2,http://news.moneytoday.co.kr/view/mtview.php?no=2020110710021775348&type=2
_,2100201.202,20201107,머니투데이,"10년간 두 딸 성폭행한 '괴물' 엄마, 징역 723년 선고 출소는 2743년",여성,0,-1,0,0,-1,http://news.moneytoday.co.kr/view/mtview.php?no=2020110707364423398&type=2
_,1100701.202,20201107,세계일보,"무서운 17살 불법촬영후 ""뿌린다"" 협박해 7회 성폭행",남성,0,-1,0,0,-1,http://www.segye.com/content/html/2020/11/07/20201107500647.html
_,1100201.202,20201107,국민일보,"10여년간 두딸 성폭행한 엄마, 징역 723년 “28세기 출소”",여성,0,-1,0,0,-1,http://news.kmib.co.kr/article/view.asp?arcid=0015191731&code=61131511&cp=kd
_,1100611.202,20201106,서울신문,"10여 년간 두 딸 성폭행한 母, 징역 723년형 28세기 말에 출소",여성,0,0,0,0,0,http://nownews.seoul.co.kr/news/newsView.php?id=20201106601009
_,2100201.202,20201106,머니투데이,"검찰, '사내 성폭력' 가구업체 前인사팀장 간음유인 아닌 강요미수 결론",남성,1,0,1,0,2,http://news.moneytoday.co.kr/view/mtview.php?no=2020110613315840100&type=2
_,1300201.202,20201104,강원일보,성추행 혐의 전 기관장 징역형,남성,0,0,1,0,1,http://www.kwnews.co.kr/nView.asp?s=501&aid=220110300099
_,1300101.202,20201104,강원도민일보,직원성추행 혐의 문화단체장 1심서 징역 1년 법정구속,남성,0,0,1,0,1,www.kado.net/news/articleView.html?idxno=1046136
_,1300101.202,20201103,강원도민일보,직원 성추행 단체장 징역 1년 선고,남성,0,0,0,0,0,www.kado.net/news/articleView.html?idxno=1046068
_,1100201.202,20201103,국민일보,창가에서 발이 ‘쑥’ 기차 앞자리 여성 성추행한 50대,남성,0,0,0,1,1,http://news.kmib.co.kr/article/view.asp?arcid=0015177960&code=61121211&cp=kd
_,1100801.202,20201101,조선일보,“속옷 망가졌나 확인할게” 의붓딸 성추행한 아빠 징역형,남성,0,0,0,0,0,https://www.chosun.com/national/2020/11/01/6IID2753WZAGTLP2A77TV6IEOU/?utm_source=bigkinds&utm_medium=original&utm_campaign=news
_,8100101.202,20201028,KBS,‘성추행 혐의’ 전주 사립대 교수 항소심에서 ‘무죄’,남성,0,1,1,0,2,http://news.kbs.co.kr/news/view.do?ncd=5036139&amp;ref=DA
_,1601001.202,20201028,전북도민일보,동료 교수 제자 성추행한 대학 교수 항소심서 ‘무죄’,남성,0,1,0,0,1,http://www.domin.co.kr/news/articleView.html?idxno=1315092
_,2100201.202,20201028,머니투데이,4명이 성추행 피해 증언했는데 '미투' 교수 항소심서 무죄,남성,0,0,1,0,1,http://news.moneytoday.co.kr/view/mtview.php?no=2020102817204154085&type=2
_,2100851.202,20201028,아주경제,"제자 동료성추행 교수 1심 뒤집혀 2심 무죄...시민단체 ""성인지 감수성 문제""",남성,0,0,0,0,0,http://www.ajunews.com/view/20201028162649775
_,1101101.202,20201028,한국일보,"김기덕 감독, '미투' 여배우 MBC 상대 10억 손배소 패소",남성,0,0,1,0,1,https://hankookilbo.com/News/Read/A2020102816360000594
_,1100901.202,20201028,중앙일보,"""성추행 시간 장소 상황, 진술 모순"" '미투' 교수 항소심서 무죄",남성,1,0,1,0,2,https://news.joins.com/article/olink/23500486
_,1101001.202,20201028,한겨레,제자 동료 성추행 혐의 전북 사립대 교수 항소심 무죄,남성,0,0,0,0,0,http://www.hani.co.kr/arti/area/honam/967599.html
